BeIdentificatie,Sbi2008ActueelGecoordineerd,GkSbsGecoordineerd
10022031,2511,4
10022074,2640,5
10022252,2561,5
10022317,2841,4
10022376,2932,5
10022457,2825,7
10023062,33123,5
10023070,3092,5
10023232,3012,5
10023674,2511,6
10023828,2599,4
10024255,2599,7
10024433,2511,5
10024654,2561,4
10024719,2511,5
10024891,2651,4
10025316,2453,4
10025413,2511,5
10025693,2899,4
10025774,2829,7
10025863,3315,4
10026258,2814,4
10026266,2229,4
10026541,2892,4
10026746,29201,4
10026789,2511,4
10026924,2512,5
10027475,31011,5
10027513,2222,5
10027645,16239,7
10027823,1624,6
10028099,31011,4
10028307,3109,4
10028323,1624,7
10028358,3109,5
10028838,3109,5
10029052,16239,5
10029141,16239,5
10029176,3291,4
10029583,31011,4
10029737,16231,4
10030018,31011,4
10030166,31011,5
10030530,1624,6
10030557,31011,6
10030646,3109,4
10030662,3109,4
10030824,2512,8
10030913,16231,6
10030956,31011,4
10030972,16231,5
10031049,3109,4
10031065,31012,4
10031235,16231,6
10031472,16231,6
10031553,3102,5
10031626,31011,4
10031650,29202,5
10031693,31011,6
10031782,3109,6
10031812,3109,4
10031871,31012,5
10032223,16231,5
10032266,31011,4
10032428,16239,5
10032436,31011,5
10032541,3109,5
10032703,1624,4
10032754,2229,5
10032770,2222,6
10032908,1621,4
10033025,2841,4
10033203,3323,5
10033408,2511,4
10033424,2511,4
10033734,2599,4
10033793,2822,7
10034242,2511,5
10034323,2830,5
10034994,2562,5
10035125,2740,5
10035230,2511,4
10035257,33123,4
10035354,2550,5
10035524,33121,6
10035591,2511,8
10035699,33121,5
10035702,29201,5
10035788,2830,5
10036075,2550,6
10036261,2511,5
10036393,2550,5
10036482,29201,4
10036563,3212,4
10036598,2561,4
10036849,2561,4
10036865,2899,4
10036881,2572,5
10037128,2822,4
10037209,29202,4
10037799,2511,6
10037810,33123,4
10037977,2790,4
10038086,2511,5
10038272,2511,5
10038353,2511,5
10038450,2599,5
10038582,2511,5
10038639,2740,4
10038868,2822,5
10039015,2511,5
10039155,16231,4
10039163,16231,4
10039279,16231,6
10039392,3109,5
10039457,3109,4
10039546,16231,5
10039570,16231,4
10039694,31011,6
10039767,16231,5
10039791,16231,4
10039856,16231,5
10039988,3109,4
10040277,3220,5
10040552,1520,5
10040722,1621,4
10040730,3109,5
10040862,1624,5
10041087,2511,5
10041222,31012,5
10041346,31012,4
10041419,3109,6
10041508,3291,5
10041583,3291,4
10041613,3220,5
10041664,3291,4
10042067,31012,4
10042075,31011,6
10042202,1624,6
10042210,3109,4
10042474,16231,6
10042504,16231,4
10042571,16231,5
10042652,3109,5
10042695,3109,4
10042903,1051,4
10043098,1051,7
10043101,1051,7
10043217,2825,6
10043349,16231,5
10043519,3291,4
10043578,31011,5
10043608,2511,5
10043772,3109,5
10043845,3109,4
10043896,1622,5
10044477,1624,6
10044493,16239,4
10045961,16231,5
10045988,16231,5
10046135,2222,6
10046291,16231,5
10046429,1629,4
10046453,31012,4
10046569,2222,6
10046577,2229,5
10046585,1629,6
10046844,1624,5
10046968,3315,5
10047069,16231,5
10047077,16231,6
10047476,1629,5
10047646,16231,5
10047662,16231,6
10047743,16231,4
10048049,3220,4
10048081,3220,4
10048146,3109,4
10048162,3109,6
10048650,2599,5
10048847,3102,7
10048855,31012,4
10048871,16231,5
10048898,3109,5
10048979,31011,4
10049347,2812,5
10049355,29202,8
10049371,33222,7
10049444,2562,7
10049525,3011,5
10049630,2442,8
10049665,2592,8
10049703,2511,5
10049797,2511,5
10049800,3091,5
10049819,2512,7
10049886,32999,4
10049908,2511,5
10050051,2120,9
10050078,2442,6
10050108,2829,5
10050116,2651,6
10050159,2822,7
10050167,2550,6
10050213,2711,7
10050221,2550,5
10050256,2572,5
10050272,2822,8
10050299,2711,5
10050477,2830,6
10050485,33121,4
10050523,2599,7
10050566,2752,6
10050582,3311,6
10050590,2573,6
10050620,2740,4
10050639,2830,7
10050671,2223,7
10050736,2420,6
10050760,2829,4
10050795,2511,4
10050809,2830,9
10050892,2825,5
10050930,2572,5
10050957,2893,9
10050981,1392,8
10051007,2594,5
10051074,2822,6
10051082,2830,8
10051155,2814,7
10051201,31011,5
10051236,2814,8
10051244,2790,6
10051279,2451,4
10051317,2512,5
10051325,3315,6
10051333,2711,6
10051341,2512,8
10051406,2592,7
10051422,2822,7
10051449,2511,5
10051546,2511,5
10051708,2572,4
10051783,2599,4
10051805,2822,5
10051848,2893,5
10051937,2893,7
10051988,3012,7
10051996,2511,7
10052003,2823,8
10052038,2814,5
10052097,2829,6
10052208,2822,8
10052259,2550,7
10052348,2451,5
10052429,2815,6
10052445,2562,4
10052453,3109,5
10052518,2442,9
10052534,3011,4
10052542,2822,8
10052569,2221,6
10052577,2670,7
10052666,2511,5
10052674,2822,9
10052690,2932,7
10052712,33121,4
10052720,2825,7
10052747,2593,4
10052755,29201,8
10052801,2410,9
10052976,2740,7
10052992,2651,7
10053026,2593,6
10053131,2893,5
10053190,29202,5
10053204,2511,5
10053220,3011,4
10053239,2711,5
10053255,2442,8
10053263,2511,6
10053336,2712,6
10053425,2611,5
10053484,2829,6
10053557,3092,5
10053573,33121,7
10053778,2829,4
10053786,2732,8
10053832,2712,7
10053840,3109,4
10053859,2451,7
10053875,2893,7
10053883,3220,4
10053891,2813,8
10053980,3011,5
10053999,2420,6
10054014,2592,9
10054030,3011,7
10054065,2593,4
10054103,2825,7
10054154,2521,8
10054162,2813,7
10054170,33221,6
10054189,3315,5
10054227,2821,5
10054324,18129,7
10054359,2591,7
10054383,2599,5
10054405,2893,5
10054448,2899,7
10054456,2511,6
10054537,2823,6
10054545,2825,5
10054596,2812,6
10054642,2825,7
10054650,3315,5
10054820,2651,5
10054855,31012,8
10054863,2454,4
10054898,2593,6
10054901,3011,4
10054928,2592,5
10054960,2451,7
10055029,2893,7
10055037,2511,4
10055045,2815,5
10055207,2451,5
10055274,2594,8
10055304,2410,6
10055312,31012,7
10055355,2443,8
10055371,2221,6
10055398,3092,8
10055428,3092,7
10055436,2932,8
10055444,2893,7
10055452,2593,6
10055460,2561,6
10055487,2651,9
10055576,2521,7
10055649,2825,7
10055657,33122,7
10055665,2451,7
10055681,2451,9
10055789,3012,8
10055819,2599,5
10055843,33121,5
10055878,2451,5
10055908,33123,5
10055924,2813,5
10055959,2599,4
10055991,3011,6
10056025,2593,5
10056033,2451,5
10056068,2451,6
10056076,2511,6
10056114,3315,4
10056130,2813,9
10056149,3012,4
10056157,2814,5
10056181,2815,5
10056203,2822,5
10056270,2899,6
10056327,2720,4
10056378,2822,8
10056416,3316,6
10056424,2829,8
10056564,2829,4
10056599,2651,5
10056602,2892,4
10056637,2599,5
10056653,2830,6
10056742,29202,7
10056750,2829,5
10056769,2550,5
10056777,2825,6
10056785,2893,7
10056807,2822,5
10056823,2511,4
10056866,2511,5
10056904,2511,4
10057013,2822,5
10057234,2830,5
10057641,2562,4
10057684,2892,5
10057730,2550,4
10057803,2830,6
10414576,1084,8
10417346,1520,4
10419071,1091,6
10419985,2711,6
10422277,17211,6
10422633,2219,4
10422765,2893,8
10423761,2893,5
10424032,1020,5
10424857,2016,5
10429905,1729,5
10429948,1089,6
10429956,2052,4
10429980,33121,6
10430148,33123,4
10430776,2221,5
10431713,2711,5
10433317,1039,8
10434712,1091,5
10434836,2219,7
10435956,2030,5
10437924,2221,8
10437975,2059,5
10439218,2223,5
10439498,2219,5
10444157,2041,4
10444432,2059,7
10445366,1020,5
10446249,2015,7
10448098,2120,9
10448306,17211,5
10448322,2511,4
10449027,1091,6
10450467,1723,5
10451242,1089,4
10451811,1089,5
10452648,1084,5
10454926,1091,6
10455310,1399,5
10456279,2829,5
10456465,32502,5
10456791,1089,6
10457240,2012,9
10460845,2041,5
10461345,2222,6
10461434,2442,7
10461523,2016,5
10461604,1729,6
10461728,2229,7
10461736,2229,5
10461760,20149,8
10461779,2445,6
10461825,2059,8
10461841,2016,6
10461906,2229,6
10461957,2229,6
10462023,20141,9
10462155,2790,8
10462201,2229,4
10462317,2041,8
10462341,2030,5
10462384,2015,7
10462392,2016,8
10462481,2030,7
10462562,1062,9
10462570,2052,6
10462813,2221,5
10462872,2059,5
10462899,2053,5
10462910,2030,6
10462945,2222,5
10462953,2229,5
10463011,2013,7
10463186,2229,5
10463380,2221,6
10463429,2030,4
10463496,2223,7
10463534,2016,8
10463569,2223,4
10463615,2052,4
10463631,2445,6
10463712,2030,4
10463917,2030,5
10463941,2030,7
10463976,2229,7
10464018,2030,5
10464042,2041,5
10464050,2222,5
10464085,2651,9
10464301,2229,8
10464328,20141,5
10464387,2823,9
10464417,2229,6
10464484,2740,4
10464514,2120,6
10464751,2229,8
10464905,2016,8
10464913,2229,4
10465189,2030,4
10465308,2041,4
10465332,32999,7
10465480,20149,7
10465537,2030,6
10465545,1724,8
10465553,2030,6
10465618,2042,7
10465944,2053,9
10465987,2052,8
10466010,2012,5
10466118,2041,6
10466274,2041,6
10466495,2399,5
10466797,2012,7
10466819,2059,4
10466959,20149,5
10467017,2030,6
10467084,2012,6
10467122,20149,5
10467130,2059,7
10467149,1091,7
10467157,2053,9
10467173,2030,7
10467211,2015,9
10467246,2030,8
10467262,1091,7
10480048,1039,9
10480072,1041,6
10480285,1083,6
10480315,1020,6
10480323,1083,5
10480382,1091,6
10480633,1105,5
10480773,1062,5
10480781,1020,7
10480854,1091,4
10480862,1039,5
10481028,1091,5
10481443,1039,6
10481567,1089,4
10481826,1031,7
10481885,1039,5
10481907,1062,5
10482016,1039,5
10482172,1039,5
10482180,1041,5
10482342,1107,4
10482563,1101,5
10482873,1101,6
10482954,1039,4
10483160,1101,5
10483357,1039,5
10483756,1107,6
10483985,1101,6
10484086,1020,4
10484213,1091,4
10484221,1105,9
10484280,1091,7
10484477,1091,6
10484493,16101,6
10484582,1091,5
10484620,1061,5
10484868,1083,5
10484973,1091,5
10485015,1086,6
10485147,1107,9
10485201,1061,4
10485252,1089,8
10485317,1061,4
10485562,1091,4
10485600,1105,4
10485635,1105,5
10485678,1083,4
10495053,2363,5
10496513,1052,6
10496521,1091,5
10496661,1084,5
10497056,1084,4
10497102,1089,5
10497242,1089,5
10497315,1107,7
10497374,1092,5
10497420,1091,5
10497617,1052,7
10497625,1031,9
10497943,1092,6
10497978,1039,5
10497986,1089,7
10498028,1086,8
10498176,1039,5
10498346,1091,6
10498400,1039,4
10498435,1084,6
10498443,1031,9
10498648,1089,6
10561439,2511,6
10561498,33123,4
10561560,2511,7
10561692,3011,6
10562265,33123,4
10562524,2599,5
10563067,2561,5
10563318,33123,4
10563571,2830,4
10564098,2561,6
10564128,2892,5
10564187,2511,5
10564446,2899,5
10564667,2599,4
10564721,2893,6
10565116,2822,6
10565280,2511,5
10565477,2562,5
10565507,2899,4
10565604,2561,6
10565728,2453,5
10565833,2550,5
10566074,2599,4
10567038,2550,5
10567135,2811,4
10567178,2511,5
10567224,33121,5
10574301,2561,6
10574433,2829,4
10574646,2651,5
10574697,2893,5
10574700,2593,5
10574980,2561,4
10575227,3314,5
10575448,2511,4
10575464,2511,5
10575758,2511,5
10575979,2932,7
10576053,2511,4
10576215,3012,4
10576576,2562,5
10576622,33121,8
10576878,2814,8
10577270,2511,6
10577408,29202,6
10577424,2512,4
10577637,2511,6
10577645,2599,5
10577734,2829,5
10578579,2550,4
10578587,2511,5
10579338,2893,4
10579370,2562,5
10579702,2893,4
10580581,2822,4
10580751,2562,4
10058109,2562,7
10058176,2561,4
10058273,2453,4
10058370,2550,6
10059091,2899,5
10059180,2511,4
10059415,2410,4
10059520,2822,5
10059733,29201,5
10060073,29201,4
10060537,2593,4
10060561,2573,6
10060766,2511,4
10060782,33123,4
10060928,2511,4
10061088,2453,4
10061304,2550,6
10061320,2562,4
10061703,2599,6
10062130,2511,5
10062556,3311,4
10062890,2711,4
10062920,2829,6
10063269,2511,6
10063609,2550,4
10063684,2511,4
10063765,2599,6
10063978,2550,7
10063986,2899,4
10064230,2830,7
10064508,3011,4
10064516,2849,4
10064532,2511,4
10065008,3212,4
10065334,2511,4
10065547,2410,4
10066152,31012,5
10066225,2830,6
10066683,2593,4
10067108,2711,4
10067116,2829,5
10067248,2530,5
10067728,2829,4
10067817,2434,5
10067906,2550,5
10068058,2511,5
10068074,2561,5
10068104,2822,5
10068309,2573,4
10068570,2732,5
10068600,2511,5
10068678,2511,5
10069259,29201,5
10069313,2511,5
10069437,2550,4
10069984,2511,4
10070079,2223,4
10070265,33121,5
10070478,2893,8
10070486,2561,6
10070656,2511,4
10070737,29201,5
10070826,2561,4
10070990,2814,4
10071040,2822,4
10071083,3092,5
10071237,2829,4
10071555,29201,5
10071792,2511,4
10071989,2511,5
10072128,2511,4
10072179,2511,4
10072187,2829,4
10072241,33123,4
10072594,3315,5
10072772,3324,6
10072985,2830,7
10073116,2511,5
10073418,2894,4
10073574,2511,6
10073884,33221,6
10074201,2830,5
10074414,2893,4
10074457,2561,4
10074570,2899,6
10074619,2511,4
10074929,2550,4
10075232,33121,6
10075305,29201,5
10075577,2573,4
10075836,2420,5
10076182,2651,4
10076204,2830,4
10076352,2511,5
10076360,33121,7
10076794,2512,4
10076883,2899,4
10076905,2894,5
10076921,2511,6
10076980,23611,5
10076999,23611,5
10077081,23611,6
10077138,2332,5
10077197,2319,4
10077227,23611,4
10077332,23611,5
10077472,2825,7
10077693,2312,7
10077863,2313,9
10077952,23611,6
10078118,2311,7
10078150,2391,4
10078207,23611,4
10078282,23611,6
10078290,2314,8
10078428,23611,4
10078541,23611,4
10078592,23611,6
10078606,2341,4
10078894,23611,9
10078924,2319,4
10078983,23611,7
10078991,2365,6
10079068,23611,7
10079076,2391,5
10079130,23611,7
10079378,2341,5
10079513,2332,6
10079556,23611,5
10079564,23611,5
10079661,23611,4
10079823,2341,4
10079912,23611,5
10079971,23611,4
10080015,23611,7
10080082,23611,4
10080139,2511,5
10080171,23611,5
10080198,23611,5
10080228,23611,5
10080260,23611,5
10080317,2332,5
10080406,2320,8
10080449,2351,8
10080759,2332,5
10081062,2331,8
10109986,2222,8
10119167,2511,4
10119612,32502,5
10120033,32502,5
10120513,32502,5
10120777,32502,5
10120890,32502,6
10120904,32502,4
10133690,32502,4
10134700,2651,5
10137041,2219,4
10139605,2120,4
10155317,2670,4
10164669,1071,4
10178252,1392,6
10178376,1392,4
10178406,1392,4
10178449,1392,4
10178481,1392,5
10178783,1392,5
10178880,32501,4
10179003,32501,4
10179046,32501,4
10179070,32501,5
10179097,32501,4
10179178,32501,5
10179208,32501,4
10179267,32501,5
10179321,32501,5
10179348,32501,5
10179372,32501,5
10179429,32501,5
10179461,32501,4
10179518,32501,4
10179526,32501,5
10179542,32501,4
10179607,32501,5
10182047,2223,4
10212353,1412,4
10212892,1431,5
10212922,1413,4
10213244,1412,4
10213376,1412,4
10213600,1412,5
10214437,1413,4
10215506,1419,4
10215530,1419,4
10215611,1392,5
10216189,1439,4
10216456,1395,5
10216715,1395,6
10217525,1394,5
10217568,1394,5
10217606,1396,7
10217703,1396,5
10217746,1396,6
10217843,17211,6
10217886,1393,6
10217983,1393,7
10217991,1393,6
10218009,1393,7
10218149,1320,7
10218270,1320,5
10218327,1320,5
10218343,1320,7
10218394,1083,5
10218408,1200,6
10218459,1200,6
10218475,1200,6
10218483,1200,8
10218491,1200,7
10218599,1511,4
10218653,2229,4
10218815,1511,6
10218904,1511,5
10219617,1419,4
10219714,3092,6
10219749,2229,6
10219811,2221,7
10219838,1512,4
10219854,1512,4
10220305,1520,5
10220372,1520,4
10220437,1520,7
10220852,18123,5
10220984,18129,5
10221328,18129,6
10221360,18129,4
10221409,18129,6
10221468,17211,6
10221573,18123,6
10221905,18129,4
10222200,1723,5
10222359,18129,4
10222391,18129,5
10222561,18123,5
10222618,18123,5
10222634,18123,5
10222790,1814,5
10222847,18129,4
10222987,18123,4
10223320,1729,5
10223592,17211,6
10223657,18123,6
10223665,18129,4
10223959,18125,4
10223983,1814,4
10223991,18125,4
10224068,18125,4
10581162,2511,4
10581235,2896,5
10581391,2651,5
10581464,2892,4
10581553,2841,7
10581693,2511,5
10581790,2599,5
10582045,2732,7
10582177,2611,6
10582444,2562,5
10582541,2511,6
10582819,33123,4
10582924,3012,4
10583033,2751,6
10583734,2511,5
10583750,2822,5
10583807,2573,5
10583882,2511,6
10583955,2892,4
10584218,2511,4
10584773,2550,5
10585575,2829,6
10586040,3011,5
10586091,2511,4
10586369,2599,5
10586679,2562,4
10587322,2511,5
10587381,2229,5
10587462,2511,4
10587764,2829,5
10587772,2829,6
10588116,2822,5
10588272,2829,4
10588434,2899,5
10588590,2511,5
10588639,2740,4
10588884,2562,4
10588973,3314,6
10589066,2511,4
10589155,33123,4
10589422,29201,5
10589694,2550,5
10589767,2932,6
10589848,2562,4
10589872,2561,5
10590234,2829,7
10590773,2825,5
10590803,3321,4
10590889,2899,5
10591079,2511,6
10591281,2550,6
10591311,2511,5
10591478,33121,5
10591591,2420,7
10591893,2830,5
10591923,2511,4
10592016,2893,6
10597638,33221,7
10597751,2550,4
10598561,2453,5
10598677,2829,6
10599037,33123,4
10599134,2511,5
10599142,33123,4
10599169,2562,5
10599223,1392,6
10599622,2550,6
10599770,33123,5
10600116,2562,4
10600124,2573,5
10600140,2511,7
10600337,33123,4
10600361,2511,4
10601007,2562,5
10601147,2562,4
10601473,2511,7
10601589,2511,4
10601694,2511,6
10601988,2512,6
10602518,2599,4
10602879,29202,5
10603077,2512,5
10603204,2561,5
10603581,2562,5
10603654,2830,4
10603883,2511,5
10603891,2511,5
10604421,2561,4
10604596,2512,6
10604618,2829,5
10605134,2562,5
10605150,2511,5
10605436,2651,8
10605541,3109,5
10605703,2511,5
10605797,2815,4
10606262,2511,5
10606289,2815,4
10606645,2822,6
10606912,2550,6
10607145,2813,6
10607161,2511,4
10607234,2511,5
10607307,33123,4
10608257,3012,5
10608370,33123,4
10608524,3109,4
10608656,2511,7
10608893,2822,7
10608915,2562,6
10608974,2561,4
10609148,2550,8
10609172,2829,6
10609687,2550,4
10609776,2825,4
10609792,2511,4
10609822,2825,5
10609938,2830,5
10609962,2511,6
10609970,2651,4
10609997,2573,4
10610200,33221,5
10610235,2511,4
10610596,2511,4
10610618,2529,5
10610634,2511,5
10611118,2561,5
10611363,29201,5
10611819,33121,5
10611932,2573,5
10612084,2561,5
10612319,31012,4
10612416,2562,4
10612440,2660,5
10612513,2829,7
10612742,2893,5
10612874,2511,4
10613323,2561,6
10613498,2222,4
10613692,2814,5
10614532,2561,5
10614680,2829,4
10614931,2511,5
10615172,2892,8
10615202,2893,8
10615458,2822,4
10615628,33123,4
10615644,2711,5
10615903,2511,5
10616012,2899,4
10616330,2511,4
10616543,2899,5
10616640,2829,4
10616713,2893,5
10616799,2511,5
10616810,2893,5
10616829,2892,4
10617205,2511,4
10617566,2561,4
10617876,2572,6
10617965,2894,7
10618090,29201,5
10618333,2511,6
10618406,2550,4
10618899,2511,4
10619410,2790,5
10619682,2320,5
10619755,33123,5
10619895,2813,5
10619917,2830,4
10620095,2811,5
10620141,2562,5
10620222,33121,5
10620672,3092,4
10620729,2830,5
10620826,2593,7
10620877,3099,5
10621008,2550,5
10621040,2825,8
10621504,29202,4
10621881,2562,4
10622187,2830,4
10622268,2830,7
10622306,2511,5
10622314,33221,5
10622543,29201,4
10623140,2511,4
10623477,2829,5
10623655,2433,6
10623752,29201,5
10623787,2813,4
10623833,33123,4
10624201,29201,5
10624392,33123,4
10625003,33123,4
10625593,2550,4
10625674,2562,4
10625763,2599,5
10625836,2822,8
10625887,2453,6
10625917,2849,5
10626611,29201,6
10626727,2550,4
10627774,2550,4
10627839,2894,5
10628010,2550,4
10628207,2830,4
10628487,2511,4
10628533,2893,4
10628630,29201,6
10629017,3315,5
10629076,2829,6
10631399,1071,4
10631968,23611,5
10636595,2363,4
10637133,18123,4
10642250,1089,5
10642498,1820,4
10643141,1091,4
10644830,1051,6
10645241,3314,5
10646345,1084,7
10649662,2822,5
10650733,2511,5
10652523,3324,7
10654488,2573,6
10654852,1012,6
10654895,1091,7
10655107,1011,5
10655492,2562,5
10657975,2894,5
10661204,2363,4
10673059,17121,8
10673105,2219,7
10673210,2219,7
10673245,17211,6
10673296,17211,7
10673385,2229,4
10673431,2229,5
10673458,17211,5
10673482,17121,7
10673539,2219,7
10673547,2219,6
10673555,17212,8
10673563,2120,7
10674055,3240,5
10674438,17211,5
10674497,2211,9
10674578,17121,5
10674624,2059,6
10674632,17212,7
10674667,2790,4
10674683,1722,7
10674705,2017,5
10674810,17211,4
10224211,18123,4
10224238,18129,5
10224246,18129,4
10224343,1729,7
10224432,18129,4
10224572,18122,4
10224769,18121,4
10224823,1729,5
10225021,18125,4
10225110,18129,5
10225374,18123,5
10225714,18121,5
10225730,18129,6
10225749,18121,4
10225854,17211,7
10225862,18129,4
10225889,17211,5
10226230,18121,5
10226478,18129,4
10226591,1723,5
10226648,18123,4
10226699,18129,4
10226842,18123,5
10226966,18129,5
10227067,18129,4
10227407,18121,7
10227423,18129,5
10227571,17211,8
10227806,18122,8
10227954,17211,5
10228136,1729,4
10228195,1729,7
10228268,18122,4
10228306,18125,6
10228330,1814,6
10228500,18123,4
10228551,18123,5
10228845,18129,4
10228950,18122,6
10228977,18129,5
10229353,1813,5
10229523,1814,4
10229639,1814,4
10229779,18123,4
10229884,18129,6
10230432,17211,7
10230513,18123,6
10230521,18123,4
10230661,1723,5
10230793,1814,5
10231234,1729,7
10231366,18121,4
10231390,18121,4
10231706,18121,8
10231773,1729,6
10232036,18129,4
10232087,18121,4
10232141,1813,4
10232273,18129,5
10232303,18123,4
10232354,18123,4
10232389,18125,5
10232540,18129,5
10232591,18129,4
10232761,18129,7
10232842,18125,5
10232915,18121,4
10232966,18129,4
10233067,18129,5
10233253,18129,4
10233490,18125,5
10233512,18122,5
10233563,18129,4
10233784,18129,4
10233792,18129,5
10234225,1723,7
10234292,18123,6
10234306,18123,4
10234454,1814,4
10234586,18129,5
10234756,1723,5
10234942,32999,5
10234985,1814,4
10235019,18125,7
10235175,18125,5
10235256,1814,5
10235280,18125,5
10235868,1813,4
10235906,18129,5
10236104,18129,4
10236341,18123,6
10236791,18129,5
10236805,18123,7
10236880,18129,4
10236953,17211,7
10236961,18123,5
10237062,1811,4
10237127,18129,5
10237291,18129,5
10237437,17211,7
10237461,18123,5
10237682,18122,5
10237828,18129,4
10248595,2740,5
10257888,18123,5
10258221,1392,4
10261850,1012,6
10261931,1012,6
10262040,1012,7
10262067,1012,7
10262180,1012,7
10262253,1012,5
10262326,1012,5
10262334,1012,5
10262598,1013,8
10262687,1011,8
10262822,1011,8
10262849,1011,4
10263020,1013,5
10263098,1011,5
10263152,1011,4
10263292,1039,6
10264000,1011,8
10264280,1013,4
10264310,1013,4
10264353,1013,6
10264418,1013,8
10264493,1013,7
10264558,1089,8
10264604,1013,6
10265732,1013,6
10267662,1013,4
10269517,1013,6
10270469,1011,4
10273522,1013,4
10275622,1013,4
10279342,10822,5
10279369,10822,4
10279407,10822,4
10279415,10822,5
10279482,10822,9
10279504,10822,7
10279644,10822,5
10279660,10822,6
10279784,10821,8
10279814,10821,8
10279865,1071,5
10280014,1071,7
10280030,1071,5
10280146,1071,4
10280170,1071,4
10280200,1071,4
10280235,1071,4
10280472,1071,4
10280537,1071,4
10280766,1071,5
10280804,1071,6
10280995,1071,7
10281142,1071,5
10281290,1071,4
10281312,1071,5
10281363,1071,4
10281401,1072,4
10281568,1072,6
10281681,1071,5
10281738,1071,5
10281797,1071,5
10282009,1071,5
10282041,1061,5
10282068,1071,4
10282092,1071,6
10282181,1071,5
10282459,1071,4
10282696,1071,4
10282742,1071,5
10282793,1071,5
10282823,1071,5
10282866,1071,4
10283242,1071,4
10283498,1071,4
10283528,1071,6
10283617,1071,4
10283900,1071,6
10284036,1071,4
10284133,1071,4
10284230,1071,4
10284354,1071,5
10284389,1071,5
10284397,1071,5
10284486,1071,6
10284532,1071,4
10285113,1071,4
10285148,1071,4
10285180,1071,4
10285318,1071,5
10285431,1071,4
10285458,1071,5
10285555,1071,5
10285598,1072,5
10285660,1072,8
10285709,1071,5
10285725,1071,4
10285733,1071,4
10285776,1071,5
10285849,1071,4
10285857,1071,5
10285881,1071,4
10285962,1071,5
10286462,1071,5
10286624,1071,4
10286683,1071,4
10286713,1071,4
10287019,1071,4
10287035,1071,6
10287086,1071,5
10287108,1071,6
10287175,1071,4
10287302,1071,4
10287450,1071,4
10287507,1071,4
10287582,1071,5
10287779,1071,4
10287809,1071,4
10287868,1071,6
10288155,1072,5
10288414,1071,4
10288473,1071,4
10288511,1071,4
10288597,1071,4
10288732,1071,4
10288864,1071,4
10288910,1071,4
10289151,1071,5
10289178,1071,4
10289240,1071,5
10289313,1071,4
10289321,1071,5
10289380,1071,5
10289550,1071,5
10289631,1071,5
10289666,1071,5
10289887,1071,4
10289925,1071,4
10290311,1071,5
10290613,1072,5
10290737,1072,7
10290826,1072,6
10290893,1071,5
10290966,1071,5
10291008,1052,6
10291024,1071,4
10291237,1071,4
10291679,1071,6
10291725,1071,5
10291849,1071,6
12110248,2830,4
12112577,2829,7
12116548,18121,4
12140643,2670,5
12165492,2932,4
12174750,2529,4
12185027,1071,5
12189707,1084,8
12204226,2221,4
12210374,2562,4
12236489,2042,5
12254258,2821,5
12275476,32502,4
12282987,18129,4
12283738,1729,6
12305162,1091,6
12368512,33121,4
12380091,2399,5
12394572,1039,5
12405973,18123,4
12407216,2521,9
